gnabyl,5.6170
martin2038,3.9540
semotpan,6.5150
ddimtirov,6.7690
vaidhy,2.9720
filiphr,4.7680
albertoventurini,41.8400
ivanklaric,53.8310
ivanklaric,52.2840
tonivade,4.3520
jonathanaotearoa,1.9940
gigiblender,1.7530
JamalMulla,1.2340
PanagiotisDrakatos,6.4940
royvanrijn,1.6160
eriklumme,5.3020
makohn,5.9140
tonivade,4.7040
makohn,5.9370
shipilev,2.2570
yourwass,2.7980
SamuelYvon,4.3500
zerninv,1.8320
0xshivamagarwal,11.4760
breejesh,10.9710
berry120,7.6160
coolmineman,6.0670
MeanderingProgrammer,10.2900
rprabhu,45.0420
godofwharf,7.0260
entangled90,4.4760
netrunnereve,6.3010
mattiz,3.8710
khmarbaise,60.9000
merykitty,3.9580
unbounded,2.3180
hallvard,19.2370
deemkeen,3.4400
felix19350,79.8157
manishgarg90,22.1500
hundredwatt,9.1840
cb0s,51.0070
dqhieuu,46.9180
chrisbellew,6.0440
mahadev_k,28.5400
palmr,6.0290
kgeri,4.1940
C5H12O5,3.9770
roman_r_m,5.3230
adriacabeza,3.1660
arjenw,2.5020
AbstractKamen,5.7600
pedestrianlove,62.8320
thomaswue_best,1.5700
Judekeyser,30.7560
dpsoft,2.6711
gamlerhart,18.0780
JesseVanRooy,1.5670
rby,9.0070
agoncal,51.9380
JaimePolidura,4.9650
baseline_original_rounding,115.3620
maeda6uiui,28.0140
EduardoSaverin,1.8560
MahmoudFawzyKhalil,17.0350
karthikeyan97,4.9680
sudhirtumati,6.4690
anestoruk,2.8350
bytesfellow,8.9160
japplis,6.6970
jgrateron,4.8040
kuduwa_keshavram,3.1340
maximz101,8.8730
melgenek,2.0650
jbachorik,6.7220
spullara,3.1990
yehwankim23,89.9010
itaske,54.8270
criccomini,14.3650
santanu,60.9130
bjhara,13.5950
Ujjwalbharti,50.2170
richardstartin,6.6360
stephenvonworley,1.6210
baseline,115.4756
jotschi,2.4710
omarchenko4j,6.2650
JurenIvan,2.8120
jerrinot,1.4870
anandmattikopp,55.1180
cliffclick,1.3730
couragelee,13.1550
rcasteltrione,3.2890
ianopolousfast,3.4280
ricardopieper,6.4370
asun,12.6010
phd3,7.0260
isolgpus,2.6780
anitasv,5.4300
yavuztas,1.9460
charlibot,4.2020
PawelAdamski,13.7900
mtopolnik,1.5460
kevinmcmurtrie,5.9210
merykittyunsafe,3.7880
flippingbits,111.9310
gnmathur,22.4080
obourgain,3.9670
plbpietrz,4.8140
artsiomkorzun,1.6370
davecom,15.6760
jatingala,8.4860
javamak,30.1240
plevart,3.7450
iziamos,1.7970
seijikun,12.0920
ags313,5.8310
slovdahl,5.1370
gabrielfoo,6.5810
parkertimmins,2.4390
Kidlike,10.5070
tivrfoa,1.3010
nawaman,5.3950
faridtmammadov,9.7450
davery22,20.6090
dkarampi,8.7690
abeobk,1.6890
twobiers,14.9240
truelive,14.1340
gabrielreid,4.0120
muditsaxena,42.8640
serkan_ozal,4.4480
kumarsaurav123,7.0750
Smoofie,23.0820
vemana,2.7320
ianopolous,2.0930
jeevjyot,49.2930
jincongho,9.5100
alesj,51.9390
justplainlaake,3.4290
algirdasrascius,2.7890
abfrmblr,52.9022
hchiorean,23.5720
gonix,12.5290
gauravdeshmukh,9.7630
yonatang,4.3390
tkosachev,10.2130
YannMoisan,4.6490
giovannicuccu,5.7090
thomaswue,1.5420
fatroom,3.6570
padreati,36.0600
