JamalMulla,1.2340
tivrfoa,1.3010
cliffclick,1.3730
jerrinot,1.4870
thomaswue,1.5420
mtopolnik,1.5460
JesseVanRooy,1.5670
thomaswue_best,1.5700
royvanrijn,1.6160
stephenvonworley,1.6210
artsiomkorzun,1.6370
abeobk,1.6890
gigiblender,1.7530
iziamos,1.7970
zerninv,1.8320
EduardoSaverin,1.8560
yavuztas,1.9460
jonathanaotearoa,1.9940
melgenek,2.0650
ianopolous,2.0930
shipilev,2.2570
unbounded,2.3180
parkertimmins,2.4390
jotschi,2.4710
arjenw,2.5020
dpsoft,2.6711
isolgpus,2.6780
vemana,2.7320
algirdasrascius,2.7890
yourwass,2.7980
JurenIvan,2.8120
anestoruk,2.8350
vaidhy,2.9720
kuduwa_keshavram,3.1340
adriacabeza,3.1660
spullara,3.1990
rcasteltrione,3.2890
ianopolousfast,3.4280
justplainlaake,3.4290
deemkeen,3.4400
fatroom,3.6570
plevart,3.7450
merykittyunsafe,3.7880
mattiz,3.8710
martin2038,3.9540
merykitty,3.9580
obourgain,3.9670
C5H12O5,3.9770
gabrielreid,4.0120
kgeri,4.1940
charlibot,4.2020
yonatang,4.3390
SamuelYvon,4.3500
tonivade,4.3520
serkan_ozal,4.4480
entangled90,4.4760
YannMoisan,4.6490
tonivade,4.7040
filiphr,4.7680
jgrateron,4.8040
plbpietrz,4.8140
JaimePolidura,4.9650
karthikeyan97,4.9680
slovdahl,5.1370
eriklumme,5.3020
roman_r_m,5.3230
nawaman,5.3950
anitasv,5.4300
gnabyl,5.6170
giovannicuccu,5.7090
AbstractKamen,5.7600
ags313,5.8310
makohn,5.9140
kevinmcmurtrie,5.9210
makohn,5.9370
palmr,6.0290
chrisbellew,6.0440
coolmineman,6.0670
omarchenko4j,6.2650
netrunnereve,6.3010
ricardopieper,6.4370
sudhirtumati,6.4690
PanagiotisDrakatos,6.4940
semotpan,6.5150
gabrielfoo,6.5810
richardstartin,6.6360
japplis,6.6970
jbachorik,6.7220
ddimtirov,6.7690
godofwharf,7.0260
phd3,7.0260
kumarsaurav123,7.0750
berry120,7.6160
jatingala,8.4860
dkarampi,8.7690
maximz101,8.8730
bytesfellow,8.9160
rby,9.0070
hundredwatt,9.1840
jincongho,9.5100
faridtmammadov,9.7450
gauravdeshmukh,9.7630
tkosachev,10.2130
MeanderingProgrammer,10.2900
Kidlike,10.5070
breejesh,10.9710
0xshivamagarwal,11.4760
seijikun,12.0920
gonix,12.5290
asun,12.6010
couragelee,13.1550
bjhara,13.5950
PawelAdamski,13.7900
truelive,14.1340
criccomini,14.3650
twobiers,14.9240
davecom,15.6760
MahmoudFawzyKhalil,17.0350
gamlerhart,18.0780
hallvard,19.2370
davery22,20.6090
manishgarg90,22.1500
gnmathur,22.4080
Smoofie,23.0820
hchiorean,23.5720
maeda6uiui,28.0140
mahadev_k,28.5400
javamak,30.1240
Judekeyser,30.7560
padreati,36.0600
albertoventurini,41.8400
muditsaxena,42.8640
rprabhu,45.0420
dqhieuu,46.9180
jeevjyot,49.2930
Ujjwalbharti,50.2170
cb0s,51.0070
agoncal,51.9380
alesj,51.9390
ivanklaric,52.2840
abfrmblr,52.9022
ivanklaric,53.8310
itaske,54.8270
anandmattikopp,55.1180
khmarbaise,60.9000
santanu,60.9130
pedestrianlove,62.8320
felix19350,79.8157
yehwankim23,89.9010
flippingbits,111.9310
baseline_original_rounding,115.3620
baseline,115.4756
